RK,Symbol,Date,N1_Prev_Close,N1_Open_Price,N1_High_Price,N1_Low_Price,N1_Last_Price,N1_Close_Price,N1_Average_Price,N1_Total_Traded_Quantity,N1_Turnover,N1_No_of_Trades,N1_Deliverable_Qty,N1_Dly_Qt_to_Traded_Qty,N2_Prev_Close,N2_Open_Price,N2_High_Price,N2_Low_Price,N2_Last_Price,N2_Close_Price,N2_Average_Price,N2_Total_Traded_Quantity,N2_Turnover,N2_No_of_Trades,N2_Deliverable_Qty,N2_Dly_Qt_to_Traded_Qty,N3_Prev_Close,N3_Open_Price,N3_High_Price,N3_Low_Price,N3_Last_Price,N3_Close_Price,N3_Average_Price,N3_Total_Traded_Quantity,N3_Turnover,N3_No_of_Trades,N3_Deliverable_Qty,N3_Dly_Qt_to_Traded_Qty,N4_Prev_Close,N4_Open_Price,N4_High_Price,N4_Low_Price,N4_Last_Price,N4_Close_Price,N4_Average_Price,N4_Total_Traded_Quantity,N4_Turnover,N4_No_of_Trades,N4_Deliverable_Qty,N4_Dly_Qt_to_Traded_Qty,N5_Prev_Close,N5_Open_Price,N5_High_Price,N5_Low_Price,N5_Last_Price,N5_Close_Price,N5_Average_Price,N5_Total_Traded_Quantity,N5_Turnover,N5_No_of_Trades,N5_Deliverable_Qty,N5_Dly_Qt_to_Traded_Qty,Max_N1toN5,Min_N1toN5,Max_Next_N1toN5,Min_Next_N1toN5,Next_N5_Close_Price,drv_diff%_nextweeklymax_minus_n5close,drv_diff%_Min_N1toN5_Min_NextN1toN5,drv_diff%_Max_N1toN5_Max_NextN1toN5,target_5percent_weekly_from_N5close,target_10percent_weekly_from_N5close,drv_Date_as_Interger,drv_diff%_N1_Prev_Close_N1_Open,drv_diff%_N1_Prev_Close_N1_High,drv_diff%_N1_Prev_Close_N1_Low,drv_diff%_N1_Prev_Close_N1_Last,drv_diff%_N1_Prev_Close_N1_Close,drv_diff%_N1_Prev_Close_N1_Avg,drv_diff%_N1_N2_Total_Traded_Quantity,drv_diff%_N1_N2_Turnover,drv_diff%_N1_N2_No_of_Trades,drv_diff%_N2_Prev_Close_N2_Open,drv_diff%_N2_Prev_Close_N2_High,drv_diff%_N2_Prev_Close_N2_Low,drv_diff%_N2_Prev_Close_N2_Last,drv_diff%_N2_Prev_Close_N2_Close,drv_diff%_N2_Prev_Close_N2Avg,drv_diff%_N2_N3_Total_Traded_Quantity,drv_diff%_N2_N3_Turnover,drv_diff%_N2_N3_No_of_Trades,drv_diff%_N3_Prev_Close_N3_Open,drv_diff%_N3_Prev_Close_N3_High,drv_diff%_N3_Prev_Close_N3_Low,drv_diff%_N3_Prev_Close_N3_Last,drv_diff%_N3_Prev_Close_N3_Close,drv_diff%_N3_Prev_Close_N3_Avg,drv_diff%_N3_N4_Total_Traded_Quantity,drv_diff%_N3_N4_Turnover,drv_diff%_N3_N4_No_of_Trades,drv_diff%_N4_Prev_Close_N4_Open,drv_diff%_N4_Prev_Close_N4_High,drv_diff%_N4_Prev_Close_N4_Low,drv_diff%_N4_Prev_Close_N4_Last,drv_diff%_N4_Prev_Close_N4_Close,drv_diff%_N4_Prev_Close_N4_Avg,drv_diff%_N4_N5_Total_Traded_Quantity,drv_diff%_N4_N5_Turnover,drv_diff%_N4_N5_No_of_Trades,drv_diff%_N5_Prev_Close_N5_Open,drv_diff%_N5_Prev_Close_N5_High,drv_diff%_N5_Prev_Close_N5_Low,drv_diff%_N5_Prev_Close_N5_Last,drv_diff%_N5_Prev_Close_N5_Close,drv_diff%_N5_Prev_Close_N5_Avg,drv_diff%_N1_N2_Deliverable_Qty,drv_diff%_N2_N3_Deliverable_Qty,drv_diff%_N3_N4_Deliverable_Qty,drv_diff%_N4_N5_Deliverable_Qty,drv_diff%_N1_N2_Dly_Qt_to_Traded_Qty,drv_diff%_N2_N3_Dly_Qt_to_Traded_Qty,drv_diff%_N3_N4_Dly_Qt_to_Traded_Qty,drv_diff%_N4_N5_Dly_Qt_to_Traded_Qty,drv_diff%_N1_N2_Prev_Close,drv_diff%_N1_N3_Prev_Close,drv_diff%_N1_N4_Prev_Close,drv_diff%_N1_N5_Prev_Close,drv_diff%_N1_N2_Open_Price,drv_diff%_N1_N3_Open_Price,drv_diff%_N1_N4_Open_Price,drv_diff%_N1_N5_Open_Price,drv_diff%_N1_N2_High_Price,drv_diff%_N1_N3_High_Price,drv_diff%_N1_N4_High_Price,drv_diff%_N1_N5_High_Price,drv_diff%_N1_N2_Low_Price,drv_diff%_N1_N3_Low_Price,drv_diff%_N1_N4_Low_Price,drv_diff%_N1_N5_Low_Price,drv_diff%_N1_N2_Last_Price,drv_diff%_N1_N3_Last_Price,drv_diff%_N1_N4_Last_Price,drv_diff%_N1_N5_Last_Price,drv_diff%_N1_N2_Close_Price,drv_diff%_N1_N3_Close_Price,drv_diff%_N1_N4_Close_Price,drv_diff%_N1_N5_Close_Price,drv_diff%_N1_N2_Average_Price,drv_diff%_N1_N3_Average_Price,drv_diff%_N1_N4_Average_Price,drv_diff%_N1_N5_Average_Price,drv_diff%_N1_N2_Total_Traded_Quantity_1,drv_diff%_N1_N3_Total_Traded_Quantity,drv_diff%_N1_N4_Total_Traded_Quantity,drv_diff%_N1_N5_Total_Traded_Quantity,drv_diff%_N1_N2_Turnover_1,drv_diff%_N1_N3_Turnover,drv_diff%_N1_N4_Turnover,drv_diff%_N1_N5_Turnover,drv_diff%_N1_N2_No_of_Trades_1,drv_diff%_N1_N3_No_of_Trades,drv_diff%_N1_N4_No_of_Trades,drv_diff%_N1_N5_No_of_Trades,drv_diff%_N1_N2_Deliverable_Qty_1,drv_diff%_N1_N3_Deliverable_Qty,drv_diff%_N1_N4_Deliverable_Qty,drv_diff%_N1_N5_Deliverable_Qty,drv_diff%_N1_N2_Dly_Qt_to_Traded_Qty_1,drv_diff%_N1_N3_Dly_Qt_to_Traded_Qty,drv_diff%_N1_N4_Dly_Qt_to_Traded_Qty,drv_diff%_N1_N5_Dly_Qt_to_Traded_Qty,drv_diff%_N1_N2_Close_Price_1,drv_diff%_N2_N3_Close_Price,drv_diff%_N3_N4_Close_Price,drv_diff%_N4_N5_Close_Price,drv_Gain,drv_Loss,drv_Avg_Gain,drv_Avg_Loss,RS,RSI,SO
3,ZEEL,15-01-2020,269.55,270,274.2,265.25,272.8,272.8,271.17,9489809,2573338869,80622,1944259,20.49,272.8,273,280.5,271.75,280.4,279.7,276.45,11664707,3224760158,84439,2784070,23.87,279.7,279.65,284.45,277.4,279.65,281.7,281.02,14955571,4202774543,80069,6144181,41.08,281.7,281,284.25,268.5,269.9,270.75,275.01,9849474,2708716321,75299,2071697,21.03,270.75,269,286.7,267.15,283,284.1,280.29,21251797,5956632241,146370,5123105,24.11,286.7,265.25,304,271.75,272.5,0.07,-0.02,-0.06,1,0,20200115,0,-0.02,0.02,-0.01,-0.01,-0.01,-0.23,-0.25,-0.05,0,-0.03,0,-0.03,-0.03,-0.01,-0.28,-0.3,0.05,0,-0.02,0.01,0,-0.01,0,0.34,0.36,0.06,0,-0.01,0.05,0.04,0.04,0.02,-1.16,-1.2,-0.94,0.01,-0.06,0.01,-0.05,-0.05,-0.04,-0.43,-1.21,0.66,-1.47,-0.16,-0.72,0.49,-0.15,-0.01,-0.04,-0.05,0,-0.01,-0.04,-0.04,0,-0.02,-0.04,-0.04,-0.05,-0.02,-0.05,-0.01,-0.01,-0.03,-0.03,0.01,-0.04,-0.03,-0.03,0.01,-0.04,-0.02,-0.04,-0.01,-0.03,-0.23,-0.58,-0.04,-1.24,-0.25,-0.63,-0.05,-1.31,-0.05,0.01,0.07,-0.82,-0.43,-2.16,-0.07,-1.63,-0.16,-1,-0.03,-0.18,0.0253,0.0072,-0.0389,0.0493,0.0565,-0.0689,0.0113,-0.01378,0.82,45.05,87.88
4,ZEEL,22-01-2020,284.1,278,304,272,298,300.35,286.44,52316203,14985470177,364743,8876191,16.97,300.35,295.1,297,277.6,278.7,279.25,283.91,32391499,9196381473,235648,8133941,25.11,279.25,281,285.7,279.1,280.85,280.8,282.83,13636858,3856846770,110192,1098344,8.05,280.8,280.8,281.9,275.2,279.35,278.95,278.8,8305172,2315468197,72391,1014233,12.21,278.95,278.9,281.65,271.75,272.7,272.5,276.25,6919138,1911416150,64770,1458911,21.09,304,271.75,277.1,250.8,256.6,0.02,0.08,0.09,0,0,20200122,0.02,-0.07,0.04,-0.05,-0.06,-0.01,0.38,0.39,0.35,0.02,0.01,0.08,0.07,0.07,0.05,0.58,0.58,0.53,-0.01,-0.02,0,-0.01,-0.01,-0.01,0.39,0.4,0.34,0,0,0.02,0.01,0.01,0.01,0.17,0.17,0.11,0,-0.01,0.03,0.02,0.02,0.01,0.08,0.86,0.08,-0.44,-0.48,0.68,-0.52,-0.73,-0.06,0.02,0.01,0.02,-0.06,-0.01,-0.01,0,0.02,0.06,0.07,0.07,-0.02,-0.03,-0.01,0,0.06,0.06,0.06,0.08,0.07,0.07,0.07,0.09,0.01,0.01,0.03,0.04,0.38,0.74,0.84,0.87,0.39,0.74,0.85,0.87,0.35,0.7,0.8,0.82,0.08,0.88,0.89,0.84,-0.48,0.53,0.28,-0.24,-0.0703,0.0056,-0.0066,-0.0231,0.0756,-0.0297,0.01512,-0.00594,2.55,71.83,2.33
5,ZEEL,29-01-2020,272.5,275,277.1,271.6,273.45,274.25,274.58,6924475,1901322125,62204,1463356,21.13,274.25,273.45,274.55,266.05,267.8,267.85,269.05,7915600,2129701647,81319,1878480,23.73,267.85,270,272.9,267.2,268,269.15,270.01,7257076,1959457741,56697,1674658,23.08,269.15,269.15,269.15,251.2,253,252.95,260.62,5845829,1523538113,61404,1049541,17.95,252.95,257.8,261.15,250.8,259,256.6,256.39,10334388,2649680152,81671,1801895,17.44,277.1,250.8,268,220.1,230.45,0.04,0.12,0.03,0,0,20200129,-0.01,-0.02,0,0,-0.01,-0.01,-0.14,-0.12,-0.31,0,0,0.03,0.02,0.02,0.02,0.08,0.08,0.3,-0.01,-0.02,0,0,0,-0.01,0.19,0.22,-0.08,0,0,0.07,0.06,0.06,0.03,-0.77,-0.74,-0.33,-0.02,-0.03,0.01,-0.02,-0.01,-0.01,-0.28,0.11,0.37,-0.72,-0.12,0.03,0.22,0.03,-0.01,0.02,0.01,0.07,0.01,0.02,0.02,0.06,0.01,0.02,0.03,0.06,0.02,0.02,0.08,0.08,0.02,0.02,0.07,0.05,0.02,0.02,0.08,0.06,0.02,0.02,0.05,0.07,-0.14,-0.05,0.16,-0.49,-0.12,-0.03,0.2,-0.39,-0.31,0.09,0.01,-0.31,-0.28,-0.14,0.28,-0.23,-0.12,-0.09,0.15,0.17,-0.0233,0.0049,-0.0602,0.0144,0.0393,-0.0602,0.00786,-0.01204,0.65,39.39,22.05
6,ZEEL,04-02-2020,256.6,259.9,268,238.65,243,244.5,252.33,22976013,5797534197,173984,4647861,20.23,244.5,250,250.7,220.1,228.9,226.65,229.38,52508897,12044530437,402742,14151705,26.95,226.65,231,241.1,230.1,235.5,235.8,235.33,37223678,8759790410,253845,9794946,26.31,235.8,237,251.5,236.5,248.8,249.75,245.11,27637790,6774180199,202854,9001061,32.57,249.75,249,249.75,228.1,231.9,230.45,235.11,20345685,4783560697,160527,4750774,23.35,268,220.1,NULL,NULL,NULL,0,0,0,0,0,20200204,-0.01,-0.04,0.07,0.05,0.05,0.02,-1.29,-1.08,-1.31,-0.02,-0.03,0.1,0.06,0.07,0.06,0.29,0.27,0.37,-0.02,-0.06,-0.02,-0.04,-0.04,-0.04,0.26,0.23,0.2,-0.01,-0.07,0,-0.06,-0.06,-0.04,0.26,0.29,0.21,0,0,0.09,0.07,0.08,0.06,-2.04,0.31,0.08,0.47,-0.33,0.02,-0.24,0.28,0.05,0.12,0.08,0.03,0.04,0.11,0.09,0.04,0.06,0.1,0.06,0.07,0.08,0.04,0.01,0.04,0.06,0.03,-0.02,0.05,0.07,0.04,-0.02,0.06,0.09,0.07,0.03,0.07,-1.29,-0.62,-0.2,0.11,-1.08,-0.51,-0.17,0.17,-1.31,-0.46,-0.17,0.08,-2.04,-1.11,-0.94,-0.02,-0.33,-0.3,-0.61,-0.15,-0.073,0.0404,0.0592,-0.0773,0.1696,-0.0773,0.03392,-0.01546,2.19,68.65,21.61
1,ACC,03-01-2020,1493.05,1493,1494,1467.1,1476.8,1476.3,1478.78,568262,840336844.9,18109,146128,25.71,1476.3,1462.1,1469.85,1430.55,1433,1435.55,1445.74,408807,591028185.3,13675,147029,35.97,1435.55,1450,1465.05,1436,1453.1,1456,1452.32,863805,1254520967,26295,223430,25.87,1456,1435,1477,1435,1460.15,1462.6,1463.35,981496,1436277067,33402,211092,21.51,1462.6,1478,1491.95,1470.9,1483.9,1486.15,1482.69,685751,1016756693,18750,188604,27.5,1494,1430.55,1534,1486.15,1504.8,0.03,-0.04,-0.03,0,0,20200103,0,0,0.02,0.01,0.01,0.01,0.28,0.3,0.24,0.01,0,0.03,0.03,0.03,0.02,-1.11,-1.12,-0.92,-0.01,-0.02,0,-0.01,-0.01,-0.01,-0.14,-0.14,-0.27,0.01,-0.01,0.01,0,0,-0.01,0.3,0.29,0.44,-0.01,-0.02,-0.01,-0.01,-0.02,-0.01,-0.01,-0.52,0.06,0.11,-0.4,0.28,0.17,-0.28,0.01,0.04,0.02,0.02,0.02,0.03,0.04,0.01,0.02,0.02,0.01,0,0.02,0.02,0.02,0,0.03,0.02,0.01,0,0.03,0.01,0.01,-0.01,0.02,0.02,0.01,0,0.28,-0.52,-0.73,-0.21,0.3,-0.49,-0.71,-0.21,0.24,-0.45,-0.84,-0.04,-0.01,-0.53,-0.44,-0.29,-0.4,-0.01,0.16,-0.07,-0.0276,0.0142,0.0045,0.0161,0.0648,0,0.01296,0,0,0,87.63
2,ACC,10-01-2020,1486.15,1495,1525,1487.25,1510.8,1511.2,1512.29,1109054,1677206569,31226,274131,24.72,1511.2,1518.85,1530.7,1514.45,1524,1526.15,1524.44,531138,809689593.9,22276,141660,26.67,1526.15,1527,1534,1510.55,1517,1513.9,1522.76,850556,1295189631,16788,499067,58.68,1513.9,1511.9,1533.9,1488,1532.15,1515.75,1502.61,974275,1463957045,24576,400973,41.16,1515.75,1525.2,1529.65,1494,1504.8,1504.8,1510.3,650073,981803102.7,17341,130473,20.07,1534,1486.15,1554.9,1487,1548.35,0.03,0,-0.01,0,0,20200110,-0.01,-0.03,0,-0.02,-0.02,-0.02,0.52,0.52,0.29,-0.01,-0.01,0,-0.01,-0.01,-0.01,-0.6,-0.6,0.25,0,-0.01,0.01,0.01,0.01,0,-0.15,-0.13,-0.46,0,-0.01,0.02,-0.01,0,0.01,0.33,0.33,0.29,-0.01,-0.01,0.01,0.01,0.01,0,0.48,-2.52,0.2,0.67,-0.08,-1.2,0.3,0.51,-0.02,-0.03,-0.02,-0.02,-0.02,-0.02,-0.01,-0.02,0,-0.01,-0.01,0,-0.02,-0.02,0,0,-0.01,0,-0.01,0,-0.01,0,0,0,-0.01,-0.01,0.01,0,0.52,0.23,0.12,0.41,0.52,0.23,0.13,0.41,0.29,0.46,0.21,0.44,0.48,-0.82,-0.46,0.52,-0.08,-1.37,-0.67,0.19,0.0099,-0.008,0.0012,-0.0072,0.0012,-0.0252,0.00024,-5.04E-03,0.05,4.76,38.98
3,ACC,17-01-2020,1504.8,1504.5,1522.6,1494.05,1509,1512.35,1513.62,409435,619727724,15479,73536,17.96,1512.35,1517.8,1517.8,1495,1497.55,1497.55,1504.36,223875,336788868.5,7080,22825,10.2,1497.55,1494.95,1509.4,1487,1500,1496.1,1499.41,359320,538769675.6,12520,49579,13.8,1496.1,1507.95,1537,1502.1,1525,1524.4,1526.06,1645875,2511702978,53874,821909,49.94,1524.4,1526.25,1554.9,1525,1550,1548.35,1543.08,1100769,1698575182,41698,294647,26.77,1554.9,1487,1579.6,1525.35,1531.5,0.02,-0.03,-0.02,0,0,20200117,0,-0.01,0.01,0,-0.01,-0.01,0.45,0.46,0.54,0,0,0.01,0.01,0.01,0.01,-0.61,-0.6,-0.77,0,-0.01,0.01,0,0,0,-3.58,-3.66,-3.3,-0.01,-0.03,0,-0.02,-0.02,-0.02,0.33,0.32,0.23,0,-0.02,0,-0.02,-0.02,-0.01,0.69,-1.17,-15.58,0.64,0.43,-0.35,-2.62,0.46,-0.01,0,0.01,-0.01,-0.01,0.01,0,-0.01,0,0.01,-0.01,-0.02,0,0,-0.01,-0.02,0.01,0.01,-0.01,-0.03,0.01,0.01,-0.01,-0.02,0.01,0.01,-0.01,-0.02,0.45,0.12,-3.02,-1.69,0.46,0.13,-3.05,-1.74,0.54,0.19,-2.48,-1.69,0.69,0.33,-10.18,-3.01,0.43,0.23,-1.78,-0.49,-0.0098,-0.001,0.0189,0.0157,0.0446,-0.001,0.00892,-0.0002,44.6,97.81,90.35
4,ACC,24-01-2020,1548.35,1551.75,1570.75,1542.2,1563.1,1565.9,1557.96,780502,1215991124,26688,139370,17.86,1565.9,1555,1579.6,1544.15,1549.95,1548.85,1563.47,535508,837251663.2,19264,108830,20.32,1548.85,1554.9,1576.55,1534,1559.95,1561.35,1563.45,696588,1089078284,29661,198253,28.46,1561.35,1564.25,1574,1545.2,1546.5,1551.7,1563.04,405658,634057720.1,14489,44306,10.92,1551.7,1552.75,1556.4,1525.35,1535.1,1531.5,1536.99,415388,638445632.5,14339,90881,21.88,1579.6,1525.35,1552,1417.55,1469.8,0.01,0.07,0.02,0,0,20200124,0,-0.01,0,-0.01,-0.01,-0.01,0.31,0.31,0.28,0.01,-0.01,0.01,0.01,0.01,0,-0.3,-0.3,-0.54,0,-0.02,0.01,-0.01,-0.01,-0.01,0.42,0.42,0.51,0,-0.01,0.01,0.01,0.01,0,-0.02,-0.01,0.01,0,0,0.02,0.01,0.01,0.01,0.22,-0.82,0.78,-1.05,-0.14,-0.4,0.62,-1,-0.01,0,-0.01,0,0,0,-0.01,0,-0.01,0,0,0.01,0,0.01,0,0.01,0.01,0,0.01,0.02,0.01,0,0.01,0.02,0,0,0,0.01,0.31,0.11,0.48,0.47,0.31,0.1,0.48,0.47,0.28,-0.11,0.46,0.46,0.22,-0.42,0.68,0.35,-0.14,-0.59,0.39,-0.23,-0.0109,0.0081,-0.0062,-0.013,0.0181,-0.0192,0.00362,-0.00384,0.94,48.45,11.34
5,ACC,31-01-2020,1531.5,1536,1552,1500,1506,1504.6,1523.2,514199,783230219.1,19865,95924,18.66,1504.6,1506.4,1528,1417.55,1427.2,1426.6,1464.06,1039085,1521285653,28609,362027,34.84,1426.6,1434,1468.5,1431.15,1456.55,1456.55,1452.03,772603,1121844229,29069,293559,38,1456.55,1463.8,1506,1463,1488.15,1487.25,1491.42,944148,1408118547,19558,418256,44.3,1487.25,1496.5,1496.5,1463.3,1470,1469.8,1475.1,1005046,1482546912,31321,539739,53.7,1552,1417.55,1513.5,1446,NULL,0.03,-0.02,0.02,0,0,20200131,0,-0.01,0.02,0.02,0.02,0.01,-1.02,-0.94,-0.44,0,-0.02,0.06,0.05,0.05,0.03,0.26,0.26,-0.02,-0.01,-0.03,0,-0.02,-0.02,-0.02,-0.22,-0.26,0.33,0,-0.03,0,-0.02,-0.02,-0.02,-0.06,-0.05,-0.6,-0.01,-0.01,0.02,0.01,0.01,0.01,-2.77,0.19,-0.42,-0.29,-0.87,-0.09,-0.17,-0.21,0.02,0.07,0.05,0.03,0.02,0.07,0.05,0.03,0.02,0.05,0.03,0.04,0.05,0.05,0.02,0.02,0.05,0.03,0.01,0.02,0.05,0.03,0.01,0.02,0.04,0.05,0.02,0.03,-1.02,-0.5,-0.84,-0.95,-0.94,-0.43,-0.8,-0.89,-0.44,-0.46,0.02,-0.58,-2.77,-2.06,-3.36,-4.63,-0.87,-1.04,-1.37,-1.88,-0.0518,0.021,0.0211,-0.0117,0.0921,-0.0117,0.01842,-0.00234,7.87,88.73,38.86
1,ADANIPORTS,03-01-2020,383.15,382.7,384.35,379.2,382,382.5,382.01,3684824,1407635549,41829,1082913,29.39,382.5,388,388,374.75,380,380.2,381.73,12482680,4765071281,97444,2245696,17.99,380.2,384.05,389.75,382.4,384.05,384.8,385.49,8091465,3119177905,58470,3028819,37.43,384.8,379,387.6,378.25,385.4,385.65,383.67,4620991,1772921647,37166,1442143,31.21,385.65,389.15,394,386.05,391.8,391.8,391.3,4186783,1638283562,45704,1082332,25.85,394,374.75,394.6,386,390.95,0.01,-0.03,0,0,0,20200103,0,0,0.01,0,0,0,-2.39,-2.39,-1.33,-0.01,-0.01,0.02,0.01,0.01,0,0.35,0.35,0.4,-0.01,-0.03,-0.01,-0.01,-0.01,-0.01,0.43,0.43,0.36,0.02,-0.01,0.02,0,0,0,0.09,0.08,-0.23,-0.01,-0.02,0,-0.02,-0.02,-0.01,-1.07,-0.35,0.52,0.25,0.39,-1.08,0.17,0.17,0,0.01,0,-0.01,-0.01,0,0.01,-0.02,-0.01,-0.01,-0.01,-0.03,0.01,-0.01,0,-0.02,0.01,-0.01,-0.01,-0.03,0.01,-0.01,-0.01,-0.02,0,-0.01,0,-0.02,-2.39,-1.2,-0.25,-0.14,-2.39,-1.22,-0.26,-0.16,-1.33,-0.4,0.11,-0.09,-1.07,-1.8,-0.33,0,0.39,-0.27,-0.06,0.12,-0.006,0.0121,0.0022,0.0159,0.0402,0,0.00804,0,0,0,88.57
2,ADANIPORTS,10-01-2020,391.8,391.8,394.3,390,391.3,392.05,392.41,2405154,943808034.7,26327,788775,32.8,392.05,391.9,393.9,389.3,390.05,390.35,391.24,1516112,593167829.5,19174,497886,32.84,390.35,391,392.6,386,389.25,389.2,389.54,1963128,764722042.7,33582,661362,33.69,389.2,389.3,391.4,386,390.55,390.8,388.83,1536571,597471006.3,24601,447618,29.13,390.8,392,394.6,389.8,391,390.95,392.07,1340762,525674466.9,16681,294794,21.99,394.6,386,392.4,375.3,385.85,0,0.03,0.01,0,0,20200110,0,-0.01,0,0,0,0,0.37,0.37,0.27,0,0,0.01,0.01,0,0,-0.29,-0.29,-0.75,0,-0.01,0.01,0,0,0,0.22,0.22,0.27,0,-0.01,0.01,0,0,0,0.13,0.12,0.32,0,-0.01,0,0,0,0,0.37,-0.33,0.32,0.34,0,-0.03,0.14,0.25,0,0,0.01,0,0,0,0.01,0,0,0,0.01,0,0,0.01,0.01,0,0,0.01,0,0,0,0.01,0,0,0,0.01,0.01,0,0.37,0.18,0.36,0.44,0.37,0.19,0.37,0.44,0.27,-0.28,0.07,0.37,0.37,0.16,0.43,0.63,0,-0.03,0.11,0.33,-0.0043,-0.0029,0.0041,0.0004,0.0045,-0.0029,0.0009,-0.00058,1.55,60.78,57.56
3,ADANIPORTS,17-01-2020,390.95,390.9,392.4,386,386,387.6,389.03,1644832,639890508.6,25587,612360,37.23,387.6,387.65,389.2,378.8,379.85,380.05,382.18,1760945,672989254.2,27756,470153,26.7,380.05,378.8,382,375.3,379.7,379.95,378.66,2005178,759275668.4,28978,843545,42.07,379.95,379.95,385,379,384,383.6,382.9,1817459,695897835.3,24026,566400,31.16,383.6,384.45,386.75,380.75,385,385.85,384.4,1202104,462086830.4,22112,360665,30,392.4,375.3,387.75,370.2,378,0,0.01,0.01,0,0,20200117,0,0,0.01,0.01,0.01,0,-0.07,-0.05,-0.08,0,0,0.02,0.02,0.02,0.01,-0.14,-0.13,-0.04,0,-0.01,0.01,0,0,0,0.09,0.08,0.17,0,-0.01,0,-0.01,-0.01,-0.01,0.34,0.34,0.08,0,-0.01,0.01,0,-0.01,0,0.23,-0.79,0.33,0.36,0.28,-0.58,0.26,0.04,0.01,0.03,0.03,0.02,0.01,0.03,0.03,0.02,0.01,0.03,0.02,0.01,0.02,0.03,0.02,0.01,0.02,0.02,0.01,0,0.02,0.02,0.01,0,0.02,0.03,0.02,0.01,-0.07,-0.22,-0.1,0.27,-0.05,-0.19,-0.09,0.28,-0.08,-0.13,0.06,0.14,0.23,-0.38,0.08,0.41,0.28,-0.13,0.16,0.19,-0.0195,-0.0003,0.0096,0.0059,0.0355,-0.0003,0.0071,-6.00E-05,118.33,99.16,61.7
4,ADANIPORTS,24-01-2020,385.85,383,387.4,380.3,384.75,384.75,384.18,1572385,604083932.3,23068,345643,21.98,384.75,383.7,386.25,379.8,380.7,381.25,382.77,1076027,411875743.9,21136,259566,24.12,381.25,380.7,381.5,370.2,373.75,372.95,375.37,2220618,833546232.5,42216,841792,37.91,372.95,377.5,387.75,373.75,382.5,383.35,383.81,3588224,1377204827,46533,454883,12.68,383.35,381,383.7,376.85,378,378,379.78,1526892,579885594.7,21621,385344,25.24,387.75,370.2,381.55,355.5,366.6,0.01,0.04,0.02,0,0,20200124,0.01,0,0.01,0,0,0,0.32,0.32,0.08,0,0,0.01,0.01,0.01,0.01,-1.06,-1.02,-1,0,0,0.03,0.02,0.02,0.02,-0.62,-0.65,-0.1,-0.01,-0.04,0,-0.03,-0.03,-0.03,0.57,0.58,0.54,0.01,0,0.02,0.01,0.01,0.01,0.25,-2.24,0.46,0.15,-0.1,-0.57,0.67,-0.99,0,0.01,0.03,0.01,0,0.01,0.01,0.01,0,0.02,0,0.01,0,0.03,0.02,0.01,0.01,0.03,0.01,0.02,0.01,0.03,0,0.02,0,0.02,0,0.01,0.32,-0.41,-1.28,0.03,0.32,-0.38,-1.28,0.04,0.08,-0.83,-1.02,0.06,0.25,-1.44,-0.32,-0.11,-0.1,-0.72,0.42,-0.15,-0.0091,-0.0218,0.0279,-0.014,0.0379,-0.0358,0.00758,-0.00716,1.06,51.46,44.44
5,ADANIPORTS,31-01-2020,378,380.05,381.55,368.25,369.55,369.4,371.94,2912256,1083185828,41584,1073862,36.87,369.4,369.8,371.4,360.65,362.35,362.3,365.61,1839534,672560438.3,20577,237798,12.93,362.3,364,370,355.5,369,367.35,364.92,2857926,1042928501,28177,773965,27.08,367.35,370.1,376,366.35,368.35,372.5,372.34,3061868,1140064198,37727,767128,25.05,372.5,372,372.5,361.1,368,366.6,365.67,3441871,1258601306,36629,769088,22.35,381.55,355.5,373.7,366.15,NULL,0.02,-0.03,0.02,0,0,20200131,-0.01,-0.01,0.03,0.02,0.02,0.02,0.37,0.38,0.51,0,-0.01,0.02,0.02,0.02,0.01,-0.55,-0.55,-0.37,0,-0.02,0.02,-0.02,-0.01,-0.01,-0.07,-0.09,-0.34,-0.01,-0.02,0,0,-0.01,-0.01,-0.12,-0.1,0.03,0,0,0.03,0.01,0.02,0.02,0.78,-2.25,0.01,0,0.65,-1.09,0.07,0.11,0.02,0.04,0.03,0.01,0.03,0.04,0.03,0.02,0.03,0.03,0.01,0.02,0.02,0.03,0.01,0.02,0.02,0,0,0,0.02,0.01,-0.01,0.01,0.02,0.02,0,0.02,0.37,0.02,-0.05,-0.18,0.38,0.04,-0.05,-0.16,0.51,0.32,0.09,0.12,0.78,0.28,0.29,0.28,0.65,0.27,0.32,0.39,-0.0192,0.0139,0.014,-0.0158,0.0479,-0.0158,0.00958,-0.00316,3.03,75.19,42.61
